id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1594720567554281472,1594720567554281472,2022-11-21 16:53:06 CET,2022-11-21,16:53:06,+0100,185115193,adabagcompany,Cengiz Adabag,,Spain Holiday Warning To Tourists Over Rise In Simple Money Scam  https://t.co/LKsLhKfsTl,en,[],['https://canadanews.fr/spain-holiday-warning-to-tourists-over-rise-in-simple-money-scam/'],[],0,0,0,[],[],https://twitter.com/adabagcompany/status/1594720567554281472,False,,0,,,,,,,,[],,,,
1594720543592308738,1594108325117202432,2022-11-21 16:53:00 CET,2022-11-21,16:53:00,+0100,1211036344840904709,wihanski,Joe Wihanski,,@forcacatalunyaa @15ucl @theMadridZone @marca Barcelona players certainly contributed a lot. I have no problem saying that. Now take your own advice. Would Spain have won had Casillas not been there?,en,[],[],[],0,0,0,[],[],https://twitter.com/wihanski/status/1594720543592308738,False,,0,,,,,,,,"[{'screen_name': 'forcacatalunyaa', 'name': 'Ахмед', 'id': '1576198744239968256'}, {'screen_name': '15ucl', 'name': '.', 'id': '1268076732453720065'}, {'screen_name': 'theMadridZone', 'name': 'Madrid Zone', 'id': '1277236151343087617'}, {'screen_name': 'marca', 'name': 'MARCA', 'id': '15095537'}]",,,,
1594720516312821765,1594712466340315137,2022-11-21 16:52:54 CET,2022-11-21,16:52:54,+0100,1591115790085914636,elreycharmeleon,elreycharmeleon,,@RahulAgain_ @nocontextfooty Mexico and Ecuador top nations? No netherlands? No spain? No germany? Wtf,en,[],[],[],0,0,0,[],[],https://twitter.com/elreycharmeleon/status/1594720516312821765,False,,0,,,,,,,,"[{'screen_name': 'RahulAgain_', 'name': '`', 'id': '1252584251553439749'}, {'screen_name': 'nocontextfooty', 'name': 'Out Of Context Football', 'id': '1111976778065723393'}]",,,,
1594720510063087618,1594361080322707457,2022-11-21 16:52:52 CET,2022-11-21,16:52:52,+0100,1064863268731260929,dara18spain,🆘CANARIAS🆘,,@ramonlobo No te dejes lo mejor. ¡Y volvería Franco!  https://t.co/nL2BeW7iWf,es,[],[],['https://pbs.twimg.com/tweet_video_thumb/FiGV160XkAE5MAd.jpg'],0,0,0,[],[],https://twitter.com/Dara18Spain/status/1594720510063087618,False,,1,https://pbs.twimg.com/tweet_video_thumb/FiGV160XkAE5MAd.jpg,,,,,,,"[{'screen_name': 'ramonlobo', 'name': 'Ramón Lobo 🇺🇦🇪🇺🇪🇸🇫🇷🇬🇧🇱🇺🇻🇪', 'id': '19292516'}]",,,,
1594720502249304065,1594237358643314688,2022-11-21 16:52:50 CET,2022-11-21,16:52:50,+0100,1260532568,asburygirl67,Anica,,@rgpoulussen Fake map. A castle is not a palace or a mansion. A castle is a castle and Spain has one of the biggest concentration of them in the world.  https://t.co/BoL4DLxcdi,en,[],[],['https://pbs.twimg.com/media/FiGV2GZXwAAaukF.jpg'],0,0,0,[],[],https://twitter.com/asburygirl67/status/1594720502249304065,False,,1,https://pbs.twimg.com/media/FiGV2GZXwAAaukF.jpg,,,,,,,"[{'screen_name': 'rgpoulussen', 'name': 'Rob Poulussen', 'id': '2785036354'}]",,,,
1594720500139413505,1594685836536193024,2022-11-21 16:52:50 CET,2022-11-21,16:52:50,+0100,1522266270355398656,tk0smiled0g,Wmiledog,,@KSI Spain&gt;&gt;&gt;,en,[],[],[],0,0,0,[],[],https://twitter.com/TK0Smiled0g/status/1594720500139413505,False,,0,,,,,,,,"[{'screen_name': 'KSI', 'name': 'ksi', 'id': '266135518'}]",,,,
1594720488445583451,1594711366300057603,2022-11-21 16:52:47 CET,2022-11-21,16:52:47,+0100,417245786,jovetena,Jovetena,,@KRLS @RobertaMetsola Catalonia is not Spain. This is not our flag.,en,[],[],[],0,0,0,[],[],https://twitter.com/jovetena/status/1594720488445583451,False,,0,,,,,,,,"[{'screen_name': 'KRLS', 'name': 'krls.eth / Carles Puigdemont', 'id': '11611502'}, {'screen_name': 'RobertaMetsola', 'name': 'Roberta Metsola', 'id': '55031092'}]",,,,
1594720460100493313,1594597390257889280,2022-11-21 16:52:40 CET,2022-11-21,16:52:40,+0100,1317566345626746882,aceltya,Celtya #TeamVox #Antifeminista,,"@DTural And on top of that, he will come to Spain, for the opening of the film where he participated. #ATODOTREN2",en,[],[],[],0,0,0,['atodotren2'],[],https://twitter.com/ACeltya/status/1594720460100493313,False,,0,,,,,,,,"[{'screen_name': 'DTural', 'name': 'Deniz TURAL', 'id': '374936097'}]",,,,
1594720456246018050,1594720456246018050,2022-11-21 16:52:39 CET,2022-11-21,16:52:39,+0100,709041341,silviamcano,Silvia Martínez Cano,"{'type': 'Point', 'coordinates': [40.4, -3.68333]}","#portada #retrato #tecla #santatecla #portrait #bookcoverdesign #bookcover nuevos libros de la colección #mujeresbíblicas de @editorialsanpabloesp en Madrid, Spain  https://t.co/4eNS43Hr0N",es,[],['https://www.instagram.com/p/ClOowthDL0K/?igshid=YTgzYjQ4ZTY='],[],0,0,0,"['portada', 'retrato', 'tecla', 'santatecla', 'portrait', 'bookcoverdesign', 'bookcover', 'mujeresbíblicas']",[],https://twitter.com/silviamcano/status/1594720456246018050,False,,0,,,,,,,,[],,,,
1594720446263484417,1594720446263484417,2022-11-21 16:52:37 CET,2022-11-21,16:52:37,+0100,372730252,alba_awesome,alba osom🪩,,"7 July - BBK LIVE, Bilbao, Spain",en,[],[],[],0,0,0,[],[],https://twitter.com/alba_awesome/status/1594720446263484417,False,https://twitter.com/DamonUnofficial/status/1594660222345396225,0,,,,,,,,[],,,,
